!Xóõ	[u'ko']
'k	[u'/(\u0259)k/', u'/(\u0259)k/']
aartsbisdom	[u'/\u02c8a\u02d0r\u02a6.b\u026as.d\u0254m/', u'/\u02c8a\u02d0r\u02a6.b\u026az.d\u0254m/', u'/\u02c8a\u02d0rz.b\u026az.d\u0254m/']
aartsbisschop	[u'/\u02c8a\u02d0r\u02a6b\u026as\u03c7\u0254p/', u'/\u02c8a\u02d0r\u02a6b\u026asx\u0254p/', u'/\u02c8a\u02d0rzb\u026asx\u0254p/']
aartsdiocees	[u'/\u02c8a\u02d0r\u02a6.di.\u02b2o.\u02ccses/', u'/\u02c8a\u02d0r\u02a6.di.\u02b2o.\u02ccses/', u'/\u02c8a\u02d0rz.di.jo.\u02ccses/']
aartsvijand	[u"/'artsv\u025b\u026a\u0251nd/"]
aarzelen	[u'/\u02c8arz\u0259l\u0259(n)/']
aasgier	[u"/'as.xir/"]
abacus	[u'/\u02c8\u0251b\u0251k\u028fs/']
abattoir	[u'/\u0251.b\u0251.\u02c8t\u03b2\u031ear/', u'/a.b\u0251.\u02c8twa\u02d0r/']
abba	[u'/\u02c8\u0251ba/']
abba's	[u'/\u02c8\u0251bas/']
Abchazisch	[u'/\u0251p\u02c8xazis/']
abdij	[u'/\u0251b\u02c8d\u025b\u026a\u032f/', u'/\u0251b\u02c8d\u025b\u02d0/']
abdijkerk	[u'/\u0251b\u02c8d\u025b\u026a\u032f.k\u025brk/', u'/\u0251b\u02c8d\u025b\u02d0.k\u025brk/']
abdijkerken	[u'/\u0251b\u02c8d\u025b\u026a\u032f.k\u025br.k\u0259(n)/', u'/\u0251b\u02c8d\u025b\u02d0.k\u025br.k\u0259(n)/']
abdijkerkje	[u'/\u0251b\u02c8d\u025b\u026a\u032f.k\u025brk.j\u0259/', u'/\u0251b\u02c8d\u025b\u02d0.k\u025brk.j\u0259/']
abdijkerkjes	[u'/\u0251b\u02c8d\u025b\u026a\u032f.k\u025brk.j\u0259s/', u'/\u0251b\u02c8d\u025b\u02d0.k\u025brk.j\u0259s/']
abdis	[u'/\u0251b\u02c8d\u026as/']
abdominaal	[u'/\u02cc\u0251bdo\u028ami\u02c8na\u02d0\u026b/']
abib	[u'/a\u02c8b\u026ap/']
ablatief	[u'/\u02cc\u0251b.la.\u02c8tif/', u'/\u02cc\u0251b.la.\u02c8tif/', u'/\u02cc\u0251b.la.\u02c8ti\u02d0f/']
ablaut	[u'/\u02c8\u0251p.l\u028c\u028a\u032ft/', u'/\u02c8\u0251p.l\u0254\u028a\u032ft/', u'/\u02c8\u0251b.la\u028a\u032ft/']
abominabel	[u'/\u0251bom\u026a\u02c8nab\u0259l/']
abonnee	[u"/\u0251b\u0254'ne/"]
abonneren	[u"/\u0251b\u0254'ner\u0259(n)/"]
abortus	[u"/\u0251'b\u0254rt\u0259s/"]
abortusteam	[u'/a.\u02c8b\u0254r.t\u028fs.ti\u02d0m/']
abracadabra	[u"/\u0251br\u0251ka'dabra/"]
abraham	[u'/\u02c8\u0251brah\u0251m/']
abrahams	[u'/"\u0251brah\u0251ms/']
abrikoos	[u"/abri'kos/"]
abrikozenvlaai	[u"/\u0251br\u026a'koz\u0259(n)vla:\u026a/"]
abrire	[u"/a'brir/"]
abrupt	[u"/\u0251b'r\u028cpt/"]
abscis	[u'/\u0251ps\u026as/']
absent	[u"/\u0251p's\u025bnt/"]
absenteïsme	[u"/\u0251ps\u025bnte'\u026asm\u0259/"]
absentie	[u"/\u0251p's\u025bnsi/"]
absint	[u"/\u0251p's\u026ant/"]
